DocType: Stock Batch No,Supplier,供应商
DocType: Stock Item,Supplier Details,供应商详情
DocType: Cell Station Settings,Symlink Device Type,SymLink设备类型
DocType: Stock Item History,System Manager,系统管理员
DocType: Stock Delivery Order,TKT-,
DocType: Stock Delivery Order,Tickets Ticket,工单
DocType: Cell Service Type,TieTa,
DocType: Cell Service Type,TieTa Manager,TieTa 管理员
DocType: Cell Station,TieTa User,TieTa 用户
DocType: Cell Station Device Type,Type Doc,类型文档
DocType: Cell Station Device Type,Type Name,类型名称
DocType: Stock Delivery OrderItem,UOM,计量单位
DocType: Stock UOM,Unit Name,单位名称
DocType: Cell Station Admin,User,用户
DocType: Stock Item AttributeValue,Value,值
apps/tieta/tieta/stock/doctype/stock_delivery_order/stock_delivery_order.py +55,Ware house is required!!,未指定仓库
DocType: Stock Delivery Order,Warehouse,仓库
DocType: Stock Warehouse,Warehouse Name,仓库名称
DocType: Stock Item,Weight,重量
DocType: Stock Item,Weight UOM,重量计量单位
DocType: Cell Station,Work Current,工作电流
DocType: Cell Station,Work Current UOM,工作电流单位
